UPRN,YearMonth,CO2_EMISS_CURR_PER_FLOOR_AREA,ENERGY_CONSUMPTION_CURRENT,Estimated Energy_DOM_rf (kwh/m2)
100022539941.0,2017-05,24,136,246.02315043290042
100022605250.0,2017-05,50,286,226.86803734043733
100022606214.0,2017-05,44,210,205.6423874958375
100022663637.0,2017-05,50,281,229.2729788877789
100022677375.0,2017-05,28,160,243.36607672882673
100022766323.0,2017-05,69,389,258.9214751803752
100022923791.0,2017-05,87,513,201.53575881340882
100022923884.0,2017-05,37,212,307.37768230103234
100023304400.0,2017-05,53,299,456.55732927627923
100023410159.0,2017-05,74,349,267.1214547619048
100023677853.0,2017-05,59,334,242.19772142302142
200003387386.0,2017-05,77,453,208.28476175491178
200003436681.0,2017-05,48,272,370.37990483405474
200003451488.0,2017-05,68,388,203.70786998556997
200003459463.0,2017-05,28,162,123.95912368742351
5022736.0,2017-06,43,244,201.82640512265513
5190414.0,2017-06,23,132,508.2428877344877
6036176.0,2017-06,24,137,414.12879314574326
6062374.0,2017-06,34,194,348.3390013486514
6142204.0,2017-06,42,239,234.1505542846043
12055762.0,2017-06,40,225,313.6126836829837
12098618.0,2017-06,24,137,266.48826277056276
12105900.0,2017-06,63,357,366.00554169719175
12189801.0,2017-06,28,157,343.7156981629481
34053525.0,2017-06,35,198,206.27051282051286
34053594.0,2017-06,59,337,184.26696138306139
34093848.0,2017-06,79,448,150.3267842879343
46055166.0,2017-06,33,187,220.1941769119769
48018984.0,2017-06,25,140,223.16912178932176
48083989.0,2017-06,40,226,199.82293252858253
48103410.0,2017-06,53,299,150.80169642579637
100020879.0,2017-06,45,256,230.9011251082251
100037838.0,2017-06,42,236,227.6235262126762
100046744.0,2017-06,46,254,205.55584068154064
200102025.0,2017-06,51,292,732.6311105172605
202037177.0,2017-06,43,244,94.66160400481874
202062397.0,2017-06,35,198,169.55519965589957
202203384.0,2017-06,37,212,229.35078722388724
202203415.0,2017-06,31,178,241.84793094683096
207049586.0,2017-06,36,204,194.9786295815296
207082399.0,2017-06,34,194,203.93473762348768
207113261.0,2017-06,36,207,345.43136436896435
217007799.0,2017-06,31,178,139.4808715340215
217074173.0,2017-06,75,425,246.98153711843713
5300033099.0,2017-06,42,239,149.98035757020753
5300044652.0,2017-06,38,213,293.69844862914863
5300076583.0,2017-06,51,291,319.8255713841713
5870077096.0,2017-06,45,268,252.4936396103896
10008320319.0,2017-06,46,260,169.80677310467314
10008993152.0,2017-06,42,237,259.5179671994672
10070722899.0,2017-06,170,1004,189.54530551670547
100020220323.0,2017-06,34,195,310.11361359751356
100020383839.0,2017-06,67,380,249.97255198135198
100020479968.0,2017-06,65,369,269.72833234543236
100020588812.0,2017-06,111,654,630.8478848595848
100020639407.0,2017-06,41,234,247.53515801975803
100020950246.0,2017-06,37,231,241.17055795870797
100021008036.0,2017-06,27,156,190.6755787878788
100021047439.0,2017-06,23,132,337.7166374625375
100021293303.0,2017-06,49,276,232.07881896991896
100021329621.0,2017-06,61,347,134.89478133533126
100021426268.0,2017-06,33,188,317.21022795537795
100021440794.0,2017-06,58,331,233.25891467421465
100021444596.0,2017-06,28,161,241.59711933621932
100021456415.0,2017-06,55,312,124.76514967809969
100021464929.0,2017-06,48,273,185.4363635087135
100021540022.0,2017-06,33,187,180.22107232212238
100021765548.0,2017-06,52,294,427.3427444277943
100021870875.0,2017-06,67,378,361.19484620379626
100021917506.0,2017-06,43,242,410.61524415584427
100021929108.0,2017-06,55,277,213.38441565656566
100021960383.0,2017-06,63,355,154.12733369408366
100022551595.0,2017-06,64,364,172.00076805416808
100022595257.0,2017-06,44,247,256.5013203629704
100022597026.0,2017-06,46,260,149.15945497835497
100022639301.0,2017-06,26,148,153.12491044511034
100022674934.0,2017-06,41,232,229.42384529914528
100022682512.0,2017-06,34,196,267.2309811355311
100023044092.0,2017-06,34,191,184.38724963924966
100023244814.0,2017-06,17,98,360.89453989898993
100023340916.0,2017-06,40,230,334.48515668775667
100023407090.0,2017-06,48,271,173.81487200577197
200003388414.0,2017-06,28,158,297.8713698745699
200003435103.0,2017-06,51,312,233.62899361749362
5036832.0,2017-07,46,258,122.46175151515152
5050399.0,2017-07,30,173,249.1567925185925
5110850.0,2017-07,46,260,233.4498347985348
5172762.0,2017-07,38,214,320.21275422910423
5194113.0,2017-07,32,183,292.0862487012987
6003754.0,2017-07,30,169,275.4512865245865
6076500.0,2017-07,72,406,439.2288252525253
6077767.0,2017-07,23,132,271.93614654234653
6099614.0,2017-07,21,121,124.47364505494508
6355714.0,2017-07,28,168,256.78966115551117
6356275.0,2017-07,76,450,191.7445073204573
12083780.0,2017-07,35,222,257.38745483405484
12118713.0,2017-07,40,227,206.7713637584637
34034927.0,2017-07,20,115,209.38348583638583
34077679.0,2017-07,36,203,305.6480404262404
121039882.0,2017-07,50,282,191.8872414474414
200013880.0,2017-07,42,239,182.67641760461765
202142419.0,2017-07,28,166,256.51186984126986
202206453.0,2017-07,39,220,241.74883555888556
207001670.0,2017-07,57,322,256.88243516483516
217096889.0,2017-07,37,209,262.3478119047619
5300021611.0,2017-07,63,355,112.80664186369188
5300024972.0,2017-07,40,229,94.61401771561782
10008332778.0,2017-07,34,188,362.4352993506494
10008332803.0,2017-07,38,210,251.72234472749471
10008332910.0,2017-07,38,210,183.74783537018538
10008333064.0,2017-07,34,190,192.82453454878458
10008333096.0,2017-07,37,204,188.8107989454989
10008333169.0,2017-07,26,143,179.15223769563772
10008333350.0,2017-07,33,182,352.10204568209565
10010222923.0,2017-07,21,121,274.26926500721504
10010258734.0,2017-07,141,835,295.4938158397158
10010438277.0,2017-07,17,97,252.70692086802086
10033558030.0,2017-07,42,247,470.15880281385284
10034511049.0,2017-07,17,102,248.54087903207903
10070015773.0,2017-07,33,190,272.6551776223776
100020241328.0,2017-07,34,192,187.47752572427578
100020372290.0,2017-07,34,194,198.61718201798203
100020385404.0,2017-07,33,187,136.61938901098904
100020394100.0,2017-07,37,207,300.1471143772894
100020398602.0,2017-07,44,249,101.61439187479183
100020448349.0,2017-07,32,179,328.46250197025194
100020450528.0,2017-07,31,176,299.52395873015877
100020471987.0,2017-07,43,242,290.6598433233433
100020614411.0,2017-07,45,252,416.5207050782549
100020939765.0,2017-07,92,518,206.755936047286
100021009759.0,2017-07,41,231,264.2079366855367
100021011496.0,2017-07,24,134,155.4595966144966
100021155465.0,2017-07,42,241,173.01415526140528
100021177779.0,2017-07,31,170,512.6208281829283
100021252647.0,2017-07,68,387,362.5750711288711
100021309288.0,2017-07,77,434,473.0535664335665
100021310993.0,2017-07,32,179,187.11625618270622
100021359655.0,2017-07,57,322,246.344795998446
100021503085.0,2017-07,45,253,207.7079770562771
100021592161.0,2017-07,75,346,248.40351284271284
100021920056.0,2017-07,83,471,210.49505974025976
100021922378.0,2017-07,32,184,260.9027733488733
100021922596.0,2017-07,51,288,497.27096700521724
100022008309.0,2017-07,36,206,139.2919124153625
100022339030.0,2017-07,48,272,175.77928104673106
100022562255.0,2017-07,63,355,218.03119408369412
100022604988.0,2017-07,26,150,562.647108080808
100022612904.0,2017-07,22,124,291.1646563492064
100022631811.0,2017-07,29,167,267.9783547730048
100022716404.0,2017-07,42,237,347.80912523587523
100022810261.0,2017-07,51,290,211.77743482628483
100022816365.0,2017-07,36,201,168.3625229048729
100023697796.0,2017-07,64,362,250.96417019092019
200003750465.0,2017-07,68,384,221.154275013875
5092021.0,2017-08,47,269,315.31791674991683
